word,bengaliMeaning,pronunciation,example,exampleBengali,difficulty,level,partOfSpeech,Type of sentence,Type of tense
Competitive,প্রতিযোগিতামূলক,/kʌmpˈɛtʌtɪv/,"Because the situation was so competitive, everyone took notice.",পরিস্থিতিটি এতটাই প্রতিযোগিতামূলক ছিল যে সবাই লক্ষ্য করেছিল।,Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Complement,পরিপূরক,/kˈɑmplʌmʌnt/,The result was extremely complement.,ফলাফলটি অত্যন্ত পরিপূরক ছিল।,Hard,IELTS Band 7-9,adjective,Simple,Past Simple
Complex,জটিল,/kˈɑmplɛks/,Every student should understand the complex before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর জটিল সম্পর্কে বোঝা উচিত।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Complexity,জটিলতা,/kʌmplˈɛksʌti/,The complexity will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে জটিলতা বড় ভূমিকা রাখবে।,Hard,IELTS Band 7-9,noun,Simple,Future Simple
Complicated,জটিল,/kˈɑmplʌkeɪtʌd/,"Because they complicateded early, the project succeeded.","যেহেতু তারা আগেই জটিল করেছিল, প্রকল্পটি সফল হয়েছিল।",Hard,IELTS Band 7-9,verb,Complex,Past Simple
Component,উপাদান,/kʌmpˈoʊnʌnt/,The area has become increasingly component in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ উপাদান হয়ে উঠেছে।,Medium,IELTS Band 6-7,adjective,Simple,Present Perfect
Conceived,ধারণা করা,/kʌnsˈivd/,She conceiveded the problem before anyone noticed.,কেউ লক্ষ্য করার আগেই সে সমস্যাটি ধারণা করেছিল।,Medium,IELTS Band 6-7,verb,Simple,Past Simple
Condition,অবস্থা,/kʌndˈɪʃʌn/,The condition was clearly explained in the report.,প্রতিবেদনে অবস্থা বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Medium,IELTS Band 6-7,noun,Simple,Past Simple
Confidential,গোপনীয়,/kɑnfʌdˈɛnʃʌl/,It is confidential to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া গোপনীয়।,Hard,IELTS Band 7-9,adjective,Simple,Present Simple
Confidently,আত্মবিশ্বাসের সাথে,/kˈɑnfʌdʌntli/,He confidently explains difficult topics in class.,সে ক্লাসে কঠিন বিষয়গুলো আত্মবিশ্বাসের সাথে ব্যাখ্যা করে।,Hard,IELTS Band 7-9,adverb,Simple,Present Simple
Confined,সীমাবদ্ধ,/kʌnfˈaɪnd/,"Next year, the company will confined this plan.",আগামী বছর কোম্পানিটি এই পরিকল্পনা সীমাবদ্ধ করবে।,Medium,IELTS Band 6-7,verb,Simple,Future Simple
Conquer,জয় করা,/kˈɑŋkɜr/,The conquer will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে জয় করা বড় ভূমিকা রাখবে।,Medium,IELTS Band 6-7,noun,Simple,Future Simple
Conquest,বিজয়,/kˈɑŋkwɛst/,"Because of the conquest, the whole plan had to change.",বিজয়-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Medium,IELTS Band 6-7,noun,Complex,Past Simple
Consent,সম্মতি,/kʌnsˈɛnt/,The result was extremely consent.,ফলাফলটি অত্যন্ত সম্মতি ছিল।,Medium,IELTS Band 6-7,adjective,Simple,Past Simple
Consequently,অতএব,/kˈɑnsʌkwʌntli/,"Because she worked consequently, she finished on time.",সে অতএব কাজ করেছিল বলে সময়মতো শেষ করতে পেরেছিল।,Hard,IELTS Band 7-9,adverb,Complex,Past Simple
Considerable,যথেষ্ট,/kʌnsˈɪdɜrʌbʌl/,"Although it looked considerable, the plan actually worked.","যদিও এটি যথেষ্ট মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Considerably,যথেষ্ট,/kʌnsˈɪdɜrʌbli/,The plan was considerably rejected by the committee.,পরিকল্পনাটি কমিটি যথেষ্ট প্রত্যাখ্যান করেছিল।,Hard,IELTS Band 7-9,adverb,Simple,Past Simple
Constantly,সর্বদা,/kˈɑnstʌntli/,He constantly explains difficult topics in class.,সে ক্লাসে কঠিন বিষয়গুলো সর্বদা ব্যাখ্যা করে।,Hard,IELTS Band 7-9,adverb,Simple,Present Simple
Construction,নির্মাণ,/kʌnstrˈʌkʃʌn/,Every student should understand the construction before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর নির্মাণ সম্পর্কে বোঝা উচিত।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Constructive,গঠনমূলক,/kʌnstrˈʌktɪv/,The result was extremely constructive.,ফলাফলটি অত্যন্ত গঠনমূলক ছিল।,Hard,IELTS Band 7-9,adjective,Simple,Past Simple
Consultation,পরামর্শ,/kɑnsʌltˈeɪʃʌn/,"Because of the consultation, the whole plan had to change.",পরামর্শ-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard,IELTS Band 7-9,noun,Complex,Past Simple
Consumed,ব্যবহৃত,/kʌnsˈumd/,Experts have consumeded this issue for decades.,বিশেষজ্ঞরা কয়েক দশক ধরে এই বিষয়টি ব্যবহৃত করে আসছেন।,Medium,IELTS Band 6-7,verb,Simple,Present Perfect
Contingency,আকস্মিক ঘটনা,/kʌntˈɪndʒʌnsi/,Scientists are still examining the contingency closely.,বিজ্ঞানীরা এখনো আকস্মিক ঘটনা খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Hard,IELTS Band 7-9,noun,Simple,Present Continuous
Continual,অবিরত,/kʌntˈɪnjuʌl/,The area has become increasingly continual in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ অবিরত হয়ে উঠেছে।,Medium,IELTS Band 6-7,adjective,Simple,Present Perfect
Contrast,বৈপরীত্য,/kˈɑntræst/,Researchers have studied this contrast for many years.,গবেষকরা বহু বছর ধরে এই বৈপরীত্য নিয়ে গবেষণা করেছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Perfect
Contribute,অবদান রাখা,/kʌntrˈɪbjut/,"Although the contribute seemed minor, it changed everything.","যদিও অবদান রাখা বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Hard,IELTS Band 7-9,noun,Complex,Past Simple
Controversy,বিতর্ক,/kˈɑntrʌvɜrsi/,Every student should understand the controversy before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর বিতর্ক সম্পর্কে বোঝা উচিত।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Convenience,সুবিধা,/kʌnvˈinjʌns/,The convenience will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে সুবিধা বড় ভূমিকা রাখবে।,Hard,IELTS Band 7-9,noun,Simple,Future Simple
Convict,অপরাধী,/kˈɑnvɪkt/,"Because of the convict, the whole plan had to change.",অপরাধী-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Medium,IELTS Band 6-7,noun,Complex,Past Simple
Conviction,দন্ড,/kʌnvˈɪkʃʌn/,The article discusses the conviction in great detail.,প্রবন্ধটিতে দন্ড নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Convince,তর্কে পরাভূত করা,/kʌnvˈɪns/,Scientists are still examining the convince closely.,বিজ্ঞানীরা এখনো তর্কে পরাভূত করা খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Continuous
Correlation,সম্পর্ক,/kɔrʌlˈeɪʃʌn/,The correlation was clearly explained in the report.,প্রতিবেদনে সম্পর্ক বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Hard,IELTS Band 7-9,noun,Simple,Past Simple
Correspondence,সাদৃশ্য/সংগতি,/kɔrʌspˈɑndʌns/,Researchers have studied this correspondence for many years.,গবেষকরা বহু বছর ধরে এই সাদৃশ্য/সংগতি নিয়ে গবেষণা করেছেন।,Hard,IELTS Band 7-9,noun,Simple,Present Perfect
Council,পরিষদ,/kˈaʊnsʌl/,"Although the council seemed minor, it changed everything.","যদিও পরিষদ বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Medium,IELTS Band 6-7,noun,Complex,Past Simple
Creative,সৃজনশীল,/kriˈeɪtɪv/,Most experts consider this method quite creative.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ সৃজনশীল মনে করেন।,Medium,IELTS Band 6-7,adjective,Simple,Present Simple
Crew,দল,/krˈu/,The crew will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে দল বড় ভূমিকা রাখবে।,Easy,IELTS Band 5-6,noun,Simple,Future Simple
Criterion,মানদণ্ড,/kraɪtˈɪriʌn/,"Because of the criterion, the whole plan had to change.",মানদণ্ড-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Medium,IELTS Band 6-7,noun,Complex,Past Simple
Critical,সমালোচনামূলক,/krˈɪtɪkʌl/,The result was extremely critical.,ফলাফলটি অত্যন্ত সমালোচনামূলক ছিল।,Medium,IELTS Band 6-7,adjective,Simple,Past Simple
Crude,অপরিশোধিত,/krˈud/,Scientists are still examining the crude closely.,বিজ্ঞানীরা এখনো অপরিশোধিত খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Continuous
Culprit,অপরাধী,/kˈʌlprɪt/,The culprit was clearly explained in the report.,প্রতিবেদনে অপরাধী বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Medium,IELTS Band 6-7,noun,Simple,Past Simple
Curtail,কাটা/কমানো,/kɜrtˈeɪl/,Researchers have studied this curtail for many years.,গবেষকরা বহু বছর ধরে এই কাটা/কমানো নিয়ে গবেষণা করেছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Perfect
Dangerous,বিপজ্জনক,/dˈeɪndʒɜrʌs/,The area has become increasingly dangerous in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ বিপজ্জনক হয়ে উঠেছে।,Medium,IELTS Band 6-7,adjective,Simple,Present Perfect
Deal with,পরিচালনা করা,,Every student should understand the deal with before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর পরিচালনা করা সম্পর্কে বোঝা উচিত।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Debate,বিতর্ক,/dʌbˈeɪt/,"If we act now, we can debate this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি বিতর্ক করতে পারবো।,Medium,IELTS Band 6-7,verb,Complex,Present Simple
Deceptive,প্রতারণামূলক,/dɪsˈɛptɪv/,It is deceptive to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া প্রতারণামূলক।,Hard,IELTS Band 7-9,adjective,Simple,Present Simple
Decline,পতন,/dɪklˈaɪn/,The article discusses the decline in great detail.,প্রবন্ধটিতে পতন নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Deduction,কাটা,/dɪdˈʌkʃʌn/,Scientists are still examining the deduction closely.,বিজ্ঞানীরা এখনো কাটা খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Continuous
Degradation,মর্যাদাহানি,/dɛgrʌdˈeɪʃʌn/,The degradation was clearly explained in the report.,প্রতিবেদনে মর্যাদাহানি বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Hard,IELTS Band 7-9,noun,Simple,Past Simple
Delight,আনন্দ,/dɪlˈaɪt/,Researchers have studied this delight for many years.,গবেষকরা বহু বছর ধরে এই আনন্দ নিয়ে গবেষণা করেছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Perfect
Demand,চাহিদা,/dɪmˈænd/,"Although the demand seemed minor, it changed everything.","যদিও চাহিদা বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Easy,IELTS Band 5-6,noun,Complex,Past Simple
Democratic,গণতান্ত্রিক,/dɛmʌkrˈætɪk/,It is democratic to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া গণতান্ত্রিক।,Hard,IELTS Band 7-9,adjective,Simple,Present Simple
Demolishing,ধ্বংস করা,/dɪmˈɑlɪʃɪŋ/,The team is demolishinging new ways to solve it.,দলটি এটি সমাধানের নতুন উপায় ধ্বংস করছে।,Hard,IELTS Band 7-9,verb,Simple,Present Continuous
Demonstration,প্রদর্শন,/dɛmʌnstrˈeɪʃʌn/,"Because of the demonstration, the whole plan had to change.",প্রদর্শন-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard,IELTS Band 7-9,noun,Complex,Past Simple
Density,ঘনত্ব,/dˈɛnsʌti/,The article discusses the density in great detail.,প্রবন্ধটিতে ঘনত্ব নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Depleting,গ্রাস করা,/dɪplˈitɪŋ/,They depleting this issue every single day.,তারা প্রতিদিন এই বিষয়টি গ্রাস করে।,Medium,IELTS Band 6-7,verb,Simple,Present Simple
Depth,গভীরতা,/dˈɛpθ/,The depth was clearly explained in the report.,প্রতিবেদনে গভীরতা বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Easy,IELTS Band 5-6,noun,Simple,Past Simple
Detect,সনাক্ত করা,/dɪtˈɛkt/,Researchers have studied this detect for many years.,গবেষকরা বহু বছর ধরে এই সনাক্ত করা নিয়ে গবেষণা করেছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Perfect
Devastating,ংসাত্মক,/dˈɛvʌsteɪtɪŋ/,"If we act now, we can devastating this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি ংসাত্মক করতে পারবো।,Hard,IELTS Band 7-9,verb,Complex,Present Simple
Dictate,নির্দেশ দেওয়া,/dɪktˈeɪt/,The team is dictating new ways to solve it.,দলটি এটি সমাধানের নতুন উপায় নির্দেশ দেওয়া করছে।,Medium,IELTS Band 6-7,verb,Simple,Present Continuous
Die out,লুপ্ত হত্রয়া,,The die out will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে লুপ্ত হত্রয়া বড় ভূমিকা রাখবে।,Medium,IELTS Band 6-7,noun,Simple,Future Simple
Dimension,মাত্রা,/dɪmˈɛnʃʌn/,"Because of the dimension, the whole plan had to change.",মাত্রা-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Medium,IELTS Band 6-7,noun,Complex,Past Simple
Disappearance,অন্তর্ধান,/dɪsʌpˈɪrʌns/,The article discusses the disappearance in great detail.,প্রবন্ধটিতে অন্তর্ধান নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Disappeared,অদৃশ্য,/dɪsʌpˈɪrd/,She disappeareded the problem before anyone noticed.,কেউ লক্ষ্য করার আগেই সে সমস্যাটি অদৃশ্য করেছিল।,Hard,IELTS Band 7-9,verb,Simple,Past Simple
Disbelief,অবিশ্বাস,/dɪsbɪlˈif/,The disbelief was clearly explained in the report.,প্রতিবেদনে অবিশ্বাস বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Medium,IELTS Band 6-7,noun,Simple,Past Simple
Discriminate,বৈষম্য করা,/dɪskrˈɪmʌneɪt/,"If we act now, we can discriminate this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি বৈষম্য করতে পারবো।,Hard,IELTS Band 7-9,verb,Complex,Present Simple
Discuss,আলোচনা করা,/dɪskˈʌs/,"Although the discuss seemed minor, it changed everything.","যদিও আলোচনা করা বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Medium,IELTS Band 6-7,noun,Complex,Past Simple
Discussion,আলোচনা,/dɪskˈʌʃʌn/,Every student should understand the discussion before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর আলোচনা সম্পর্কে বোঝা উচিত।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Disrupt,বিঘ্নিত করা,/dɪsrˈʌpt/,The disrupt will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে বিঘ্নিত করা বড় ভূমিকা রাখবে।,Medium,IELTS Band 6-7,noun,Simple,Future Simple
Disruption,চুর্ণ-বিচুর্ণ অবস্থা,/dɪsrˈʌpʃʌn/,"Because of the disruption, the whole plan had to change.",চুর্ণ-বিচুর্ণ অবস্থা-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard,IELTS Band 7-9,noun,Complex,Past Simple
Disruptive,বি্নকারী,/dɪsrˈʌptɪv/,"Although it looked disruptive, the plan actually worked.","যদিও এটি বি্নকারী মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Distraction,বিভ্রান্তি,/dɪstrˈækʃʌn/,Scientists are still examining the distraction closely.,বিজ্ঞানীরা এখনো বিভ্রান্তি খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Hard,IELTS Band 7-9,noun,Simple,Present Continuous
Diverse,একাধিক,/daɪvˈɜrs/,The diverse was clearly explained in the report.,প্রতিবেদনে একাধিক বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Medium,IELTS Band 6-7,noun,Simple,Past Simple
Document,নথি,/dˈɑkjʌmɛnt/,"Because the situation was so document, everyone took notice.",পরিস্থিতিটি এতটাই নথি ছিল যে সবাই লক্ষ্য করেছিল।,Medium,IELTS Band 6-7,adjective,Complex,Past Simple
Domestic,গৃহস্থালি,/dʌmˈɛstɪk/,The result was extremely domestic.,ফলাফলটি অত্যন্ত গৃহস্থালি ছিল।,Medium,IELTS Band 6-7,adjective,Simple,Past Simple
Dominant,প্রভাবশালী,/dˈɑmʌnʌnt/,It is dominant to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া প্রভাবশালী।,Medium,IELTS Band 6-7,adjective,Simple,Present Simple
Donate,দান করা,/dˈoʊneɪt/,They donate this issue every single day.,তারা প্রতিদিন এই বিষয়টি দান করে।,Medium,IELTS Band 6-7,verb,Simple,Present Simple
Drive,অগ্রসর করা,/drˈaɪv/,Most experts consider this method quite drive.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ অগ্রসর করা মনে করেন।,Easy,IELTS Band 5-6,adjective,Simple,Present Simple
Drought,খরা,/drˈaʊt/,The article discusses the drought in great detail.,প্রবন্ধটিতে খরা নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Dull,নিস্তেজ,/dˈʌl/,Scientists are still examining the dull closely.,বিজ্ঞানীরা এখনো নিস্তেজ খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Continuous
Durable,টেকসই,/dˈʊrʌbʌl/,The result was extremely durable.,ফলাফলটি অত্যন্ত টেকসই ছিল।,Medium,IELTS Band 6-7,adjective,Simple,Past Simple
Edge,প্রান্ত,/ˈɛdʒ/,Researchers have studied this edge for many years.,গবেষকরা বহু বছর ধরে এই প্রান্ত নিয়ে গবেষণা করেছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Perfect
Edible,ভোজ্য,/ˈɛdʌbʌl/,"Although it looked edible, the plan actually worked.","যদিও এটি ভোজ্য মনে হয়েছিল, পরিকল্পনাটি আসলে কাজ করেছিল।",Medium,IELTS Band 6-7,adjective,Complex,Past Simple
Elegant,রুচিশীল,/ˈɛlʌgʌnt/,Most experts consider this method quite elegant.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ রুচিশীল মনে করেন।,Medium,IELTS Band 6-7,adjective,Simple,Present Simple
Eligibility,যোগ্যতা,/ɛlɪdʒʌbˈɪlɪti/,The eligibility will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে যোগ্যতা বড় ভূমিকা রাখবে।,Hard,IELTS Band 7-9,noun,Simple,Future Simple
Eligible,যোগ্য,/ˈɛlʌdʒʌbʌl/,"Because the situation was so eligible, everyone took notice.",পরিস্থিতিটি এতটাই যোগ্য ছিল যে সবাই লক্ষ্য করেছিল।,Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Emerging,উদীয়মান,/ɪmˈɜrdʒɪŋ/,"If we act now, we can emerging this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি উদীয়মান করতে পারবো।,Medium,IELTS Band 6-7,verb,Complex,Present Simple
Emperor,সম্রাট,/ˈɛmpɜrɜr/,Scientists are still examining the emperor closely.,বিজ্ঞানীরা এখনো সম্রাট খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Continuous
Employee,কর্মচারী,/ɛmplˈɔɪi/,The employee was clearly explained in the report.,প্রতিবেদনে কর্মচারী বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Medium,IELTS Band 6-7,noun,Simple,Past Simple
Employment,চাকরি,/ɛmplˈɔɪmʌnt/,Most experts consider this method quite employment.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ চাকরি মনে করেন।,Hard,IELTS Band 7-9,adjective,Simple,Present Simple
Enable,সক্ষম করা,/ɛnˈeɪbʌl/,The area has become increasingly enable in recent years.,সাম্প্রতিক বছরগুলোতে এলাকাটি ক্রমশ সক্ষম করা হয়ে উঠেছে।,Medium,IELTS Band 6-7,adjective,Simple,Present Perfect
Encounter,সম্মুখীন,/ɪnkˈaʊntɜr/,Every student should understand the encounter before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর সম্মুখীন সম্পর্কে বোঝা উচিত।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Endurance,সহনশীলতা,/ˈɛndɜrʌns/,The endurance will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে সহনশীলতা বড় ভূমিকা রাখবে।,Hard,IELTS Band 7-9,noun,Simple,Future Simple
Enhancing,উন্নতি করা,/ɛnhˈænsɪŋ/,"If we act now, we can enhancing this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি উন্নতি করতে পারবো।,Medium,IELTS Band 6-7,verb,Complex,Present Simple
Enlarge,বড় করা,/ɛnlˈɑrdʒ/,The article discusses the enlarge in great detail.,প্রবন্ধটিতে বড় করা নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Medium,IELTS Band 6-7,noun,Simple,Present Simple
Enthusiastic,উদ্যমী,/ɪnθuziˈæstɪk/,Most experts consider this method quite enthusiastic.,বেশিরভাগ বিশেষজ্ঞ এই পদ্ধতিটিকে বেশ উদ্যমী মনে করেন।,Hard,IELTS Band 7-9,adjective,Simple,Present Simple
Entirely,সম্পূর্ণভাবে,/ɪntˈaɪɜrli/,She answered the question entirely.,সে সম্পূর্ণভাবে প্রশ্নের উত্তর দিয়েছিল।,Medium,IELTS Band 6-7,adverb,Simple,Past Simple
Era,যুগ,/ˈɛrʌ/,Researchers have studied this era for many years.,গবেষকরা বহু বছর ধরে এই যুগ নিয়ে গবেষণা করেছেন।,Easy,IELTS Band 5-6,noun,Simple,Present Perfect
Escalator,চলন্ত সিঁড়ি,/ˈɛskʌleɪtɜr/,"Although the escalator seemed minor, it changed everything.","যদিও চলন্ত সিঁড়ি বিষয়টি সামান্য মনে হয়েছিল, এটি সবকিছু বদলে দিয়েছিল।",Hard,IELTS Band 7-9,noun,Complex,Past Simple
Estuary,মোহনা,/ˈɛstʃuɛri/,It is estuary to prepare well before the test.,পরীক্ষার আগে ভালোভাবে প্রস্তুতি নেওয়া মোহনা।,Medium,IELTS Band 6-7,adjective,Simple,Present Simple
Evaluate,মূল্যায়ন,/ɪvˈæljueɪt/,"If we act now, we can evaluate this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি মূল্যায়ন করতে পারবো।,Hard,IELTS Band 7-9,verb,Complex,Present Simple
Evaluation,মূল্যায়ন করা,/ɪvæljuˈeɪʃʌn/,"Because of the evaluation, the whole plan had to change.",মূল্যায়ন করা-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard,IELTS Band 7-9,noun,Complex,Past Simple
Evolution,বিবর্তন,/ɛvʌlˈuʃʌn/,The article discusses the evolution in great detail.,প্রবন্ধটিতে বিবর্তন নিয়ে বিস্তারিত আলোচনা করা হয়েছে।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Excessive,অতিরিক্ত,/ɪksˈɛsɪv/,"Because the situation was so excessive, everyone took notice.",পরিস্থিতিটি এতটাই অতিরিক্ত ছিল যে সবাই লক্ষ্য করেছিল।,Hard,IELTS Band 7-9,adjective,Complex,Past Simple
Exchange,বিনিময়,/ɪkstʃˈeɪndʒ/,The exchange was clearly explained in the report.,প্রতিবেদনে বিনিময় বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Medium,IELTS Band 6-7,noun,Simple,Past Simple
Exclude,বাদ দেওয়া,/ɪksklˈud/,Researchers have studied this exclude for many years.,গবেষকরা বহু বছর ধরে এই বাদ দেওয়া নিয়ে গবেষণা করেছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Perfect
Executed,নিম্পন্ন,/ˈɛksʌkjutɪd/,Experts have executeded this issue for decades.,বিশেষজ্ঞরা কয়েক দশক ধরে এই বিষয়টি নিম্পন্ন করে আসছেন।,Hard,IELTS Band 7-9,verb,Simple,Present Perfect
Expenditure,ব্যয়,/ɪkspˈɛndʌtʃɜr/,Every student should understand the expenditure before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর ব্যয় সম্পর্কে বোঝা উচিত।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
Expense,ব্যয়,/ɪkspˈɛns/,The expense will play a major role in the final decision.,চূড়ান্ত সিদ্ধান্তে ব্যয় বড় ভূমিকা রাখবে।,Medium,IELTS Band 6-7,noun,Simple,Future Simple
Experience,অভিজ্ঞতা,/ɪkspˈɪriʌns/,"Because of the experience, the whole plan had to change.",অভিজ্ঞতা-এর কারণে পুরো পরিকল্পনা বদলাতে হয়েছিল।,Hard,IELTS Band 7-9,noun,Complex,Past Simple
Experiment,পরীক্ষা,/ɪkspˈɛrʌmʌnt/,The result was extremely experiment.,ফলাফলটি অত্যন্ত পরীক্ষা ছিল।,Hard,IELTS Band 7-9,adjective,Simple,Past Simple
Explain,ব্যাখ্যা করা,/ɪksplˈeɪn/,Scientists are still examining the explain closely.,বিজ্ঞানীরা এখনো ব্যাখ্যা করা খুব কাছ থেকে পর্যবেক্ষণ করছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Continuous
Explanation,ব্যাখ্যা,/ɛksplʌnˈeɪʃʌn/,The explanation was clearly explained in the report.,প্রতিবেদনে ব্যাখ্যা বিষয়টি স্পষ্টভাবে ব্যাখ্যা করা হয়েছিল।,Hard,IELTS Band 7-9,noun,Simple,Past Simple
Explicit,স্পষ্ট,/ɪksplˈɪsʌt/,Researchers have studied this explicit for many years.,গবেষকরা বহু বছর ধরে এই স্পষ্ট নিয়ে গবেষণা করেছেন।,Medium,IELTS Band 6-7,noun,Simple,Present Perfect
Exposed,প্রকাশিত,/ɪkspˈoʊzd/,"If we act now, we can exposed this matter.",এখন পদক্ষেপ নিলে আমরা বিষয়টি প্রকাশিত করতে পারবো।,Medium,IELTS Band 6-7,verb,Complex,Present Simple
Exposure,প্রকাশ,/ɪkspˈoʊʒɜr/,Every student should understand the exposure before the exam.,পরীক্ষার আগে প্রতিটি শিক্ষার্থীর প্রকাশ সম্পর্কে বোঝা উচিত।,Hard,IELTS Band 7-9,noun,Simple,Present Simple
